Códig CNAE|Descrição do CNAE|Tipo de Atividade Econômica|O CNAE está no Simples?|Anexo Simples Nacional|Alíquota (%) de Imposto|Precisa de Inscrição Estadual?|Observação sobre a Inscrição
2031-2/00|Fabricação de resinas termoplásticas|Indústria|Sim|II|0,045|Sim|
2032-1/00|Fabricação de resinas termofixas|Indústria|Sim|II|0,045|Sim|
2033-9/00|Fabricação de elastômeros|Indústria|Sim|II|0,045|Sim|
2040-1/00|Fabricação de fibras artificiais e sintéticas|Indústria|Sim|II|0,045|Sim|
2051-7/00|Fabricação de defensivos agrícolas|Indústria|Sim|II|0,045|Sim|
2052-5/00|Fabricação de desinfestantes domissanitários|Indústria|Sim|II|0,045|Sim|
2061-4/00|Fabricação de sabões e detergentes sintéticos|Indústria|Sim|II|0,045|Sim|
2062-2/00|Fabricação de produtos de limpeza e polimento|Indústria|Sim|II|0,045|Sim|
2063-1/00|Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal|Indústria|Sim|II|0,045|Sim|
2071-1/00|Fabricação de tintas, vernizes, esmaltes e lacas|Indústria|Sim|II|0,045|Sim|
2072-0/00|Fabricação de tintas de impressão|Indústria|Sim|II|0,045|Sim|
2073-8/00|Fabricação de impermeabilizantes, solventes e produtos afins|Indústria|Sim|II|0,045|Sim|
2091-6/00|Fabricação de adesivos e selantes|Indústria|Sim|II|0,045|Sim|
70220|Fabricação de pólvoras, explosivos e detonantes|Indústria|Não|||Sim|
70221|Fabricação de artigos pirotécnicos|Indústria|Sim|II|0,045|Sim|
70222|Fabricação de fósforos de segurança|Indústria|Sim|II|0,045|Sim|
2093-2/00|Fabricação de aditivos de uso industrial|Indústria|Sim|II|0,045|Sim|
2094-1/00|Fabricação de catalisadores|Indústria|Sim|II|0,045|Sim|
72686|Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia|Indústria|Sim|II|0,045|Sim|
2099-1/99|Fabricação de outros produtos químicos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2110-6/00|Fabricação de produtos farmoquímicos|Indústria|Sim|II|0,045|Sim|
80721|Fabricação de medicamentos alopáticos para uso humano|Indústria|Sim|II|0,045|Sim|
80722|Fabricação de medicamentos homeopáticos para uso humano|Indústria|Sim|II|0,045|Sim|
80723|Fabricação de medicamentos fitoterápicos para uso humano|Indústria|Sim|II|0,045|Sim|
2122-0/00|Fabricação de medicamentos para uso veterinário|Indústria|Sim|II|0,045|Sim|
2123-8/00|Fabricação de preparações farmacêuticas|Indústria|Sim|II|0,045|Sim|
2211-1/00|Fabricação de pneumáticos e de câmaras-de-ar|Indústria|Sim|II|0,045|Sim|
2212-9/00|Reforma de pneumáticos usados|Indústria|Sim|II - III||Não|
2219-6/00|Fabricação de artefatos de borracha Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2221-8/00|Fabricação de laminados planos e tubulares de material plástico|Indústria|Sim|II|0,045|Sim|
2222-6/00|Fabricação de embalagens de material plástico|Indústria|Sim|II|0,045|Sim|
2223-4/00|Fabricação de tubos e acessórios de material plástico para uso na construção|Indústria|Sim|II|0,045|Sim|
120226|Fabricação de artefatos de material plástico para uso pessoal e doméstico|Indústria|Sim|II|0,045|Sim|
120227|Fabricação de artefatos de material plástico para usos industriais|Indústria|Sim|II|0,045|Sim|
120228|Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios|Indústria|Sim|II|0,045|Sim|
2229-3/99|Fabricação de artefatos de material plástico para outros usos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2311-7/00|Fabricação de vidro plano e de segurança|Indústria|Sim|II|0,045|Sim|
2312-5/00|Fabricação de embalagens de vidro|Indústria|Sim|II|0,045|Sim|
2319-2/00|Fabricação de artigos de vidro|Indústria|Sim|II|0,045|Sim|
2320-6/00|Fabricação de cimento|Indústria|Sim|II|0,045|Sim|
157115|Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda|Indústria|Sim|II|0,045|Sim|
157116|Fabricação de artefatos de cimento para uso na construção|Indústria|Sim|II|0,045|Sim|
157117|Fabricação de artefatos de fibrocimento para uso na construção|Indústria|Sim|II|0,045|Sim|
157118|Fabricação de casas pré-moldadas de concreto|Indústria|Sim|II|0,045|Sim|
157119|Preparação de massa de concreto e argamassa para construção|Indústria|Sim|II|0,045|Sim|
2330-3/99|Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes|Indústria|Sim|II|0,045|Sim|
2341-9/00|Fabricação de produtos cerâmicos refratários|Indústria|Sim|II|0,045|Sim|
161620|Fabricação de azulejos e pisos|Indústria|Sim|II|0,045|Sim|
161621|Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos|Indústria|Sim|II|0,045|Sim|
164086|Fabricação de material sanitário de cerâmica|Indústria|Sim|II|0,045|Sim|
2349-4/99|Fabricação de produtos cerâmicos Não-refratários Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
179456|Britamento de pedras, exceto associado à extração|Indústria|Sim|II|0,045|Sim|
179457|Aparelhamento de pedras para construção, exceto associado à extração|Indústria|Sim|II|0,045|Sim|
179458|Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras|Indústria|Sim|II|0,045|Sim|
2392-3/00|Fabricação de cal e gesso|Indústria|Sim|II|0,045|Sim|
182258|Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal|Indústria|Sim|II|0,045|Sim|
182259|Fabricação de abrasivos|Indústria|Sim|II|0,045|Sim|
2399-1/99|Fabricação de outros produtos de minerais Não-metálicos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2411-3/00|Produção de ferro-gusa|Indústria|Sim|II|0,045|Sim|
2412-1/00|Produção de ferroligas|Indústria|Sim|II|0,045|Sim|
2421-1/00|Produção de semi-acabados de aço|Indústria|Sim|II|0,045|Sim|
190902|Produção de laminados planos de aço ao carbono, revestidos ou Não|Indústria|Sim|II|0,045|Sim|
190903|Produção de laminados planos de aços especiais|Indústria|Sim|II|0,045|Sim|
191205|Produção de tubos de aço sem costura|Indústria|Sim|II|0,045|Sim|
191206|Produção de laminados longos de aço, exceto tubos|Indústria|Sim|II|0,045|Sim|
191510|Produção de arames de aço|Indústria|Sim|II|0,045|Sim|
191511|Produção de relaminados, trefilados e perfilados de aço, exceto arames|Indústria|Sim|II|0,045|Sim|
2431-8/00|Produção de tubos de aço com costura|Indústria|Sim|II|0,045|Sim|
2439-3/00|Produção de outros tubos de ferro e aço|Indústria|Sim|II|0,045|Sim|
197719|Produção de alumínio e suas ligas em formas primárias|Indústria|Sim|II|0,045|Sim|
197720|Produção de laminados de alumínio|Indústria|Sim|II|0,045|Sim|
2442-3/00|Metalurgia dos metais preciosos|Indústria|Sim|II|0,045|Sim|
2443-1/00|Metalurgia do cobre|Indústria|Sim|II|0,045|Sim|
200521|Produção de zinco em formas primárias|Indústria|Sim|II|0,045|Sim|
200522|Produção de laminados de zinco|Indústria|Sim|II|0,045|Sim|
200523|Produção de ânodos para galvanoplastia|Indústria|Sim|II|0,045|Sim|
2449-1/99|Metalurgia de outros metais Não-ferrosos e suas ligas Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2451-2/00|Fundição de ferro e aço|Indústria|Sim|II|0,045|Sim|
2452-1/00|Fundição de metais Não-ferrosos e suas ligas|Indústria|Sim|II|0,045|Sim|
2511-0/00|Fabricação de estruturas metálicas|Indústria|Sim|II|0,045|Sim|
2512-8/00|Fabricação de esquadrias de metal|Indústria|Sim|II|0,045|Sim|
2513-6/00|Fabricação de obras de caldeiraria pesada|Indústria|Sim|II|0,045|Sim|
2521-7/00|Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central|Indústria|Sim|II|0,045|Sim|
2522-5/00|Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos|Indústria|Sim|II|0,045|Sim|
230560|Produção de forjados de aço|Indústria|Sim|II|0,045|Sim|
230561|Produção de forjados de metais Não-ferrosos e suas ligas|Indústria|Sim|II|0,045|Sim|
230866|Produção de artefatos estampados de metal|Indústria|Sim|II|0,045|Sim|
230867|Metalurgia do pó|Indústria|Sim|II|0,045|Sim|
2539-0/01|Serviços de usinagem, tornearia e solda|Serviços|Sim|III|0,06|Sim|
2539-0/02|Serviços de tratamento e revestimento em metais|Serviços|Sim|III|0,06|Sim|
2541-1/00|Fabricação de artigos de cutelaria|Indústria|Sim|II|0,045|Sim|
2542-0/00|Fabricação de artigos de serralheria, exceto esquadrias|Indústria|Sim|II|0,045|Sim|
2543-8/00|Fabricação de ferramentas|Indústria|Sim|II|0,045|Sim|
237410|Fabricação de equipamento bélico pesado, exceto veículos militares de combate|Indústria|Não|||Sim|
237411|Fabricação de armas de fogo, outras armas e munições|Indústria|Não|||Sim|
2591-8/00|Fabricação de embalagens metálicas|Indústria|Sim|II|0,045|Sim|
252902|Fabricação de produtos de trefilados de metal padronizados|Indústria|Sim|II|0,045|Sim|
252903|Fabricação de produtos de trefilados de metal, exceto padronizados|Indústria|Sim|II|0,045|Sim|
2593-4/00|Fabricação de artigos de metal para uso doméstico e pessoal|Indústria|Sim|II|0,045|Sim|
255366|Serviços de confecção de armações metálicas para a construção|Indústria|Sim|II|0,045|Sim|
255367|Serviço de corte e dobra de metais|Serviços|Sim|III|0,06|Sim|
2599-3/99|Fabricação de outros produtos de metal Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2610-8/00|Fabricação de componentes eletrônicos|Indústria|Sim|II|0,045|Sim|
2621-3/00|Fabricação de equipamentos de informática|Indústria|Sim|II|0,045|Sim|
2622-1/00|Fabricação de periféricos para equipamentos de informática|Indústria|Sim|II|0,045|Sim|
2631-1/00|Fabricação de equipamentos transmissores de comunicação, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2632-9/00|Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2640-0/00|Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo|Indústria|Sim|II|0,045|Sim|
2651-5/00|Fabricação de aparelhos e equipamentos de medida, teste e controle|Indústria|Sim|II|0,045|Sim|
2652-3/00|Fabricação de cronômetros e relógios|Indústria|Sim|II|0,045|Sim|
2660-4/00|Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação|Indústria|Sim|II|0,045|Sim|
281239|Fabricação de equipamentos e instrumentos ópticos, peças e acessórios|Indústria|Sim|II|0,045|Sim|
281240|Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2680-9/00|Fabricação de mídias virgens, magnéticas e ópticas|Indústria|Sim|II|0,045|Sim|
295938|Fabricação de geradores de corrente contínua e alternada, peças e acessórios|Indústria|Sim|II|0,045|Sim|
295939|Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios|Indústria|Sim|II|0,045|Sim|
295940|Fabricação de motores elétricos, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2721-0/00|Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores|Indústria|Sim|II|0,045|Sim|
300443|Fabricação de baterias e acumuladores para veículos automotores|Indústria|Sim|II|0,045|Sim|
300444|Recondicionamento de baterias e acumuladores para veículos automotores|Indústria|Sim|II|0,045|Não|
2731-7/00|Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica|Indústria|Sim|II|0,045|Sim|
2732-5/00|Fabricação de material elétrico para instalações em circuito de consumo|Indústria|Sim|II|0,045|Sim|
2733-3/00|Fabricação de fios, cabos e condutores elétricos isolados|Indústria|Sim|II|0,045|Sim|
306957|Fabricação de lâmpadas|Indústria|Sim|II|0,045|Sim|
306958|Fabricação de luminárias e outros equipamentos de iluminação|Indústria|Sim|II|0,045|Sim|
2751-1/00|Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios|Indústria|Sim|II|0,045|Sim|
313926|Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2759-7/99|Fabricação de outros aparelhos eletrodomésticos Não especificados anteriormente, peças e acessórios|Indústria|Sim|II|0,045|Sim|
325099|Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores|Indústria|Sim|II|0,045|Sim|
325100|Fabricação de equipamentos para sinalização e alarme|Indústria|Sim|II|0,045|Sim|
2790-2/99|Fabricação de outros equipamentos e aparelhos elétricos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2811-9/00|Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários|Indústria|Sim|II|0,045|Sim|
2812-7/00|Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas|Indústria|Sim|II|0,045|Sim|
2813-5/00|Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios|Indústria|Sim|II|0,045|Sim|
333893|Fabricação de compressores para uso industrial, peças e acessórios|Indústria|Sim|II|0,045|Sim|
333894|Fabricação de compressores para uso Não-industrial, peças e acessórios|Indústria|Sim|II|0,045|Sim|
334199|Fabricação de rolamentos para fins industriais|Indústria|Sim|II|0,045|Sim|
334200|Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos|Indústria|Sim|II|0,045|Sim|
336542|Fabricação de fornos industriais, aparelhos e equipamentos Não-elétricos para instalações térmicas, peças e acessórios|Indústria|Sim|II|0,045|Sim|
336543|Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios|Indústria|Sim|II|0,045|Sim|
336846|Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios|Indústria|Sim|II|0,045|Sim|
336847|Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2823-2/00|Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios|Indústria|Sim|II|0,045|Sim|
337486|Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial|Indústria|Sim|II|0,045|Sim|
337487|Fabricação de aparelhos e equipamentos de ar condicionado para uso Não-industrial|Indústria|Sim|II|0,045|Sim|
2825-9/00|Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios|Indústria|Sim|II|0,045|Sim|
339313|Fabricação de máquinas de escrever, calcular e outros equipamentos Não-eletrônicos para escritório, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2829-1/99|Fabricação de outras máquinas e equipamentos de uso geral Não especificados anteriormente, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2831-3/00|Fabricação de tratores agrícolas, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2832-1/00|Fabricação de equipamentos para irrigação agrícola, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2833-0/00|Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação|Indústria|Sim|II|0,045|Sim|
2840-2/00|Fabricação de máquinas-ferramenta, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2851-8/00|Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2852-6/00|Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo|Indústria|Sim|II|0,045|Sim|
2853-4/00|Fabricação de tratores, peças e acessórios, exceto agrícolas|Indústria|Sim|II|0,045|Sim|
2854-2/00|Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores|Indústria|Sim|II|0,045|Sim|
2861-5/00|Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta|Indústria|Sim|II|0,045|Sim|
2862-3/00|Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2863-1/00|Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2864-0/00|Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2865-8/00|Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2866-6/00|Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios|Indústria|Sim|II|0,045|Sim|
2869-1/00|Fabricação de máquinas e equipamentos para uso industrial específico Não especificados anteriormente, peças e acessórios|Indústria|Sim|II|0,045|Sim|
369078|Fabricação de automóveis, camionetas e utilitários|Indústria|Não|||Sim|
369079|Fabricação de chassis com motor para automóveis, camionetas e utilitários|Indústria|Sim|II|0,045|Sim|
369080|Fabricação de motores para automóveis, camionetas e utilitários|Indústria|Sim|II|0,045|Sim|
372640|Fabricação de caminhões e ônibus|Indústria|Sim|II|0,045|Sim|
372641|Fabricação de motores para caminhões e ônibus|Indústria|Sim|II|0,045|Sim|
376202|Fabricação de cabines, carrocerias e reboques para caminhões|Indústria|Sim|II|0,045|Sim|
376203|Fabricação de carrocerias para ônibus|Indústria|Sim|II|0,045|Sim|
376204|Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus|Indústria|Sim|II|0,045|Sim|
2941-7/00|Fabricação de peças e acessórios para o sistema motor de veículos automotores|Indústria|Sim|II|0,045|Sim|
2942-5/00|Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores|Indústria|Sim|II|0,045|Sim|
2943-3/00|Fabricação de peças e acessórios para o sistema de freios de veículos automotores|Indústria|Sim|II|0,045|Sim|
2944-1/00|Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores|Indústria|Sim|II|0,045|Sim|
2945-0/00|Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias|Indústria|Sim|II|0,045|Sim|
383173|Fabricação de bancos e estofados para veículos automotores|Indústria|Sim|II|0,045|Sim|
2949-2/99|Fabricação de outras peças e acessórios para veículos automotores Não especificadas anteriormente|Indústria|Sim|II|0,045|Sim|
2950-6/00|Recondicionamento e recuperação de motores para veículos automotores|Indústria|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
405845|Construção de embarcações de grande porte|Indústria|Sim|II|0,045|Sim|
405846|Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte|Indústria|Sim|II|0,045|Sim|
3012-1/00|Construção de embarcações para esporte e lazer|Indústria|Sim|II|0,045|Sim|
3031-8/00|Fabricação de locomotivas, vagões e outros materiais rodantes|Indústria|Sim|II|0,045|Sim|
3032-6/00|Fabricação de peças e acessórios para veículos ferroviários|Indústria|Sim|II|0,045|Sim|
3041-5/00|Fabricação de aeronaves|Indústria|Sim|II|0,045|Sim|
3042-3/00|Fabricação de turbinas, motores e outros componentes e peças para aeronaves|Indústria|Sim|II|0,045|Sim|
3050-4/00|Fabricação de veículos militares de combate|Indústria|Sim|II|0,045|Sim|
435006|Fabricação de motocicletas|Indústria|Não|||Sim|
435007|Fabricação de peças e acessórios para motocicletas|Indústria|Sim|II|0,045|Sim|
3092-0/00|Fabricação de bicicletas e triciclos Não-motorizados, peças e acessórios|Indústria|Sim|II|0,045|Sim|
3099-7/00|Fabricação de equipamentos de transporte Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
3101-2/00|Fabricação de móveis com predominância de madeira|Indústria|Sim|II|0,045|Sim|
3102-1/00|Fabricação de móveis com predominância de metal|Indústria|Sim|II|0,045|Sim|
3103-9/00|Fabricação de móveis de outros materiais, exceto madeira e metal|Indústria|Sim|II|0,045|Sim|
3104-7/00|Fabricação de colchões|Indústria|Sim|II|0,045|Sim|
478986|Lapidação de gemas|Indústria|Sim|II|0,045|Sim|
478987|Fabricação de artefatos de joalheria e ourivesaria|Indústria|Sim|II|0,045|Sim|
478988|Cunhagem de moedas e medalhas|Indústria|Sim|II|0,045|Sim|
3212-4/00|Fabricação de bijuterias e artefatos semelhantes|Indústria|Sim|II|0,045|Sim|
3220-5/00|Fabricação de instrumentos musicais, peças e acessórios|Indústria|Sim|II|0,045|Sim|
3230-2/00|Fabricação de artefatos para pesca e esporte|Indústria|Sim|II|0,045|Sim|
3240-0/01|Fabricação de jogos eletrônicos|Indústria|Sim|II|0,045|Sim|
3240-0/02|Fabricação de mesas de bilhar, de sinuca e acessórios Não associada à locação|Indústria|Sim|II|0,045|Sim|
3240-0/03|Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação|Indústria|Sim|II - III||Sim|
3240-0/99|Fabricação de outros brinquedos e jogos recreativos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
493261|Fabricação de instrumentos Não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório|Indústria|Sim|II|0,045|Sim|
493262|Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório|Indústria|Sim|II|0,045|Sim|
493263|Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda|Indústria|Sim|II|0,045|Sim|
493264|Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda|Indústria|Sim|II|0,045|Sim|
493265|Fabricação de materiais para medicina e odontologia|Indústria|Sim|II|0,045|Sim|
493266|Serviços de prótese dentária|Serviços|Sim|V|De 10% à 19,5%|Não|
493267|Fabricação de artigos ópticos|Indústria|Sim|II|0,045|Sim|
493269|Serviço de laboratório óptico|Serviços|Sim|V|De 10% à 19,5%|Não|
3291-4/00|Fabricação de escovas, pincéis e vassouras|Indústria|Sim|II|0,045|Sim|
508451|Fabricação de roupas de proteção e segurança e resistentes a fogo|Indústria|Sim|II|0,045|Sim|
508452|Fabricação de equipamentos e acessórios para segurança pessoal e profissional|Indústria|Sim|II|0,045|Sim|
3299-0/01|Fabricação de guarda-chuvas e Similares|Indústria|Sim|II|0,045|Sim|
3299-0/02|Fabricação de canetas, lápis e outros artigos para escritório|Indústria|Sim|II|0,045|Sim|
3299-0/03|Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos|Indústria|Sim|II|0,045|Sim|
3299-0/04|Fabricação de painéis e letreiros luminosos|Indústria|Sim|II|0,045|Sim|
3299-0/05|Fabricação de aviamentos para costura|Indústria|Sim|II|0,045|Sim|
3299-0/06|Fabricação de velas, inclusive decorativas|Indústria|Sim|II|0,045|Sim|
3299-0/99|Fabricação de produtos diversos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
3311-2/00|Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos|Indústria|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
515725|Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
515726|Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
515727|Manutenção e reparação de equipamentos e instrumentos ópticos|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516333|Manutenção e reparação de geradores, transformadores e motores elétricos|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516334|Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
3313-9/99|Manutenção e reparação de máquinas, aparelhos e materiais elétricos Não especificados anteriormente|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516636|Manutenção e reparação de máquinas motrizes Não-elétricas|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516637|Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516638|Manutenção e reparação de válvulas industriais|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516639|Manutenção e reparação de compressores|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516640|Manutenção e reparação de equipamentos de transmissão para fins industriais|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516641|Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516642|Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516643|Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516644|Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos Não-eletrônicos para escritório|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516645|Manutenção e reparação de máquinas e equipamentos para uso geral Não especificados anteriormente|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516646|Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516647|Manutenção e reparação de tratores agrícolas|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516648|Manutenção e reparação de máquinas-ferramenta|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516649|Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516650|Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516651|Manutenção e reparação de tratores, exceto agrícolas|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516652|Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516653|Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516654|Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516655|Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516656|Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
516657|Manutenção e reparação de máquinas e aparelhos para a indústria do plástico|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
3314-7/99|Manutenção e reparação de outras máquinas e equipamentos para usos industriais Não especificados anteriormente|Serviços|Sim|III|0,06|Sim/Não|"""Haverá fornecimento de partes e/ou peças?"""
|||||||
